,Name,Continent,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Youth,Children,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
41,Whitefish Mountain Resort,America,1361,2078,91.0,18.0,46.0,27.0,,14.0,85,73,43, 2021-12-04,2022-04-18, early December,early April, 09:00,16:00
42,Wolf Creek,America,3139,3628,100.0,20.0,35.0,45.0,,8.0,80,41,, 2021-10-30,2022-04-17, depending on snow conditions,early April, 08:30,16:00
43,Sugarbush,America,452,1240,85.0,17.0,38.0,30.0,,15.0,119,99,,,nan, late November,late March, 09:00,16:00
44,Angel Fire,America,2591,3256,75.0,40.0,28.0,7.0,,5.0,79,69,59,,nan, early December,late April, 09:00,16:00
45,Sugarloaf,America,426,1286,87.0,20.0,30.0,37.0,,12.0,119,89,76, 2021-11-20,2022-04-24, late November,mid April, 08:00,15:50
46,Okemo,America,348,1019,70.0,22.0,26.0,22.0,,14.0,119,90,, 2021-11-25,2022-04-18, late November,early April, 09:00,16:00
47,Purgatory – Durango,America,2680,3299,85.0,15.0,40.0,30.0,,10.0,89,70,60,,nan, late November,mid April, 09:00,16:00
48,Brighton,America,2668,3200,66.0,10.0,18.0,38.0,,6.0,97,58,,,nan, mid November,early May, 09:00,16:00
49,Mt. Baker,America,1070,1525,100.0,24.0,45.0,31.0,,10.0,68.58,,, 2021-11-19,2022-05-01, early November,mid April, 09:00,15:30
50,Sugar Bowl,America,2098,2555,70.0,11.9,31.5,26.6,,14.0,125,103,73,,nan, late November,early April, 09:00,16:00
51,Bolton Valley,America,440,960,30.0,15.0,10.0,5.0,,6.0,84,69,,,nan, early December,mid April, 09:00,16:00
52,Solitude,America,2434,3000,64.0,20.0,30.0,14.0,,8.0,125,73,, 2021-11-27,2022-04-24, mid November,mid April, 09:00,16:00
53,Jay Peak,America,563,1175,76.0,15.0,31.0,30.0,,7.0,89,69,,,nan,,mid April, 08:30,16:00
54,Brian Head,America,2926,3328,71.0,22.0,24.0,25.0,,8.0,59,43,,,nan, mid November,early April, 10:00,16:00
55,Bretton Woods,America,488,945,56.0,25.0,16.0,15.0,,8.0,104,74,59,,nan, mid November,early April, 09:00,16:00
56,Bear Valley,America,2011,2590,67.0,17.0,27.0,23.0,,8.0,99,78,39,,nan, mid December,early April, 09:00,16:00
57,Red Lodge Mountain,America,2138,2870,65.0,11.0,30.0,24.0,,6.0,84,62,35,,nan, late November,early April, 09:00,16:00
58,Mount Snow,America,585,1095,60.0,6.0,46.0,8.0,,15.0,110,88,,,nan, late November,late April, 08:00,16:00Limited opening times during the week
59,"[""Smugglers' Notch""]",America,314,1112,78.0,13.0,41.0,24.0,,8.0,90,68,, 2021-11-25,2022-04-18, late November,late April, 09:00,16:00
60,49 Degrees North Mountain Resort,America,1195,1760,68.0,20.0,27.0,21.0,,7.0,62,49,,,nan,,mid April,,nan
61,Alyeska Resort – Girdwood,America,70,840,62.0,14.0,31.0,17.0,,5.0,89,71,45, 2021-12-11,2022-04-24, late November,mid April, 10:30,16:00
62,Mt. Rose,America,2407,2957,60.0,12.0,18.0,30.0,,6.0,145,75,, 2021-11-20,2022-04-24, mid November,late April, 09:00,16:00
63,Bridger Bowl – Bozeman,America,1860,2682,71.0,20.0,26.0,25.0,10.0,9.0,63,40,25, 2021-12-16,2022-04-03, early December,early May, 09:00,16:00
64,Gore Mountain,America,304,1097,58.2,6.7,28.2,23.3,,12.0,94,70,54,,nan, late November,mid April, 08:30,16:00
65,Bogus Basin,America,1767,2311,50.0,11.0,22.0,17.0,,7.0,64,49,25,,nan,,mid April, 10:00,22:00
66,Kirkwood,America,2377,2987,65.0,15.0,30.0,20.0,,13.0,119,107,87, 2021-12-03,2022-04-18, late November,late September, 09:00,16:00
