,Nombre
869,Valgrisenche
870,Gambarie d'Aspromonte
871,Ventron
872,Skipark Erika – Kojsovska Hola
873,Markbuchen/Predigtstuhl (St. Englmar)
874,Stinesser Lifte – Fischen i. Allgäu
875,Raudalen Alpinsenteret
876,Archenstadel – Rinn
877,Schneeberg-Hagerlifte – Mitterland (Thiersee)
878,Niederhorn – Beatenberg
879,Golte
880,Leitariegos
881,Terre Ronde/La Praille – Plateau d’Hauteville
882,Font d'Urle – Chaud Clapier
883,Königsberg – Hollenstein an der Ybbs
884,Vassfjellet – Klæbu/Trondheim
885,Palenica – Szczawnica
886,Gesundaberget
887,Usséglio – Pian Benot
888,Pustevny – Trojanovice
889,Fideriser Heuberge – Arflina
890,Campo Staffi
891,Sorochany – Kurovo
892,Hochgrat (Oberstaufen)
893,Balea Lac
894,Monte Piselli – San Giacomo
895,Zwölferhorn – St. Gilgen
896,Schauinsland – Hofsgrund
897,Hohenbogen – Neukirchen bei Hl. Blut
898,Sonntag-Stein
899,Entracque
900,Wendelstein – Brannenburg/Osterhofen
901,Gaaler Lifte – Gaal
902,Mont Serein/Mont Ventoux Nord
903,Piazzatorre
904,Paljakka
905,Les Paccots/Châtel-St-Denis – Corbetta
906,Passolanciano
907,Elfer – Neustift
908,Jeizinen Feselalp – Gampel/Steg
909,Laye
910,Saariselkä
911,Skálafell
912,Donezan – Mijanès
913,Rieseralm – Obdach
914,Presolana
915,Sogn Skisenter
916,Iso-Syöte – Pudasjärvi
917,Serra da Estrela
918,Salzstiegl – Hirschegg
919,Faschina (Fontanella)
920,Sonnberglifts – Wald am Schoberpass
921,Pont d'Espagne – Cauterets
922,Pylypets
923,Radusa
924,Atzmännig – Goldingen
925,Stryn Skisenter
926,Kötschach-Mauthen – Vorhegg
927,Hohentauern
928,La Forclaz
929,Cordon
930,Hodlekve – Sogndal
931,Aeschiried
932,Pallas
933,Eikedalen
934,Valbella – Gallio
935,Caldirola – Monte Gropà
936,Kreuzberg – Bischofsheim an der Rhön
