,Nombre
146,Ehrwalder Alm – Ehrwald
147,St. Jakob im Defereggental – Brunnalm
148,Tandådalen/Hundfjället (Sälen)
149,Alpe Cermis – Cavalese
150,Hoch-Ybrig – Unteriberg/Oberiberg
151,Myrkdalen
152,Val Cenis – Lanslevillard/Lanslebourg/Termignon
153,Les Contamines/Hauteluce
154,Les 7 Laux – Prapoutel/Le Pleynet/Pipay
155,Sillian – Thurntaler (Hochpustertal)
156,Riesneralm – Donnersbachwald
157,Brandnertal – Brand/Bürserberg
158,Bad Kleinkirchheim
159,Brigels/Waltensburg/Andiast
160,Meiringen-Hasliberg
161,La Clusaz/Manigod
162,Espace Villard Corrençon – Villard-de-Lans/Corrençon-en-Vercors
163,Grimentz/Zinal
164,Filzmoos
165,Ifen
166,Christlum – Achenkirch
167,Loser – Altaussee
168,Pyhä
169,Golm
170,Lindvallen/Högfjället (Sälen)
171,Val Senales Glacier (Schnalstaler Gletscher)
172,Spieljoch – Fügen
173,Flachauwinkl/Kleinarl (Shuttleberg)
174,Sierra Nevada – Pradollano
175,Sudelfeld – Bayrischzell
176,Sulden am Ortler (Solda all'Ortles)
177,Diedamskopf – Schoppernau
178,Dundret Lapland – Gällivare
179,Gargellen
180,Bergeralm – Steinach am Brenner
181,Madrisa (Davos Klosters)
182,Hovden
183,Grosseck/Speiereck – Mauterndorf/St. Michael
184,Oberjoch (Bad Hindelang) – Iseler
185,Crans-Montana
186,Rauriser Hochalmbahnen – Rauris
187,See
188,of Špindlerův Mlýn
189,Grand Tourmalet/Pic du Midi – La Mongie/Barèges
190,Kaunertal Glacier (Kaunertaler Gletscher)
191,Disentis
192,Berwang/Bichlbach/Rinnen
193,Meran 2000
194,Les Houches/Saint-Gervais – Prarion/Bellevue (Chamonix)
195,Kappl
196,Lachtal
197,Hörnerbahn – Bolsterlang
198,Isola 2000
199,Brévent/Flégère (Chamonix)
200,Gerlitzen
201,Moelltal Glacier (Mölltaler Gletscher)
202,Schwemmalm
203,Pal/Arinsal – La Massana (Vallnord)
204,Dévoluy – Superdévoluy/La Joue du Loup
205,Les Orres
206,Skeikampen – Gausdal
207,of Hochficht
208,Grossglockner Heiligenblut
209,Zettersfeld – Lienz
210,Bardonecchia
