,Adults,Youth,Children
164," 52,- ", 40.50 , 26.50__
165, 52.50 , 40.50 ," 20,-__"
166," 49,- "," 25,-__",
167," 45,- ", 38.50 ," 23,-__"
168, 46.50 ," 39,- ", 29.50__
169, 51.50 ," 30,-__",
170,,,
171," 48,- "," 32,- "," 29,-__"
172," 61,- ", 49.50 ," 28,-__"
173,,,
174," 52,- "," 34,-__",
175," 42,- "," 36,- "," 20,-__"
176," 46,- ", 34.50 ," 28,-__"
177," 48,- "," 42,- "," 28,-__"
178," 35,- approx. "," 25,-__",
179," 51,- ", 29.60__,
180, 42.40 , 29.70 , 21.20__
181," 57,- approx. "," 41,- approx. "," 28,-__"
182," 54,- approx. "," 43,-__",
183," 45,- "," 33,- ", 22.50__
184," 42,- ", 32.50 , 19.50__
185," 82,- approx. "," 62,- approx. "," 46,-__"
186, 46.50 , 35.50 ," 23,-__"
187," 44,- ", 27.50__,
188,,,
189," 46,- ", 40.50__,
190," 55,- "," 46,- "," 33,-__"
191," 57,- approx. "," 42,- approx. "," 29,-__"
192," 51,- "," 41,- ", 25.50__
193," 46,- "," 39,- ", 34.50__
194," 46,- ", 39.10__,
195," 44,- ", 27.50__,
196," 47,- ", 37.50 , 23.50__
197," 43,- ", 33.50 ," 20,-__"
198," 35,- ", 29.40 , 26.90__
199," 57,- ", 48.50__,
200," 52,- "," 39,- "," 26,-__"
201," 49,- "," 34,- "," 25,-__"
202, 43.50 ," 37,- "," 31,-__"
203," 42,- "," 36,-__",
204, 37.50 , 33.50 , 29.50__
205," 38,- "," 32,-__",
206," 40,- approx. "," 35,-__",
207," 42,- "," 27,- "," 4,-__"
208," 48,- ", 38.50 ," 24,-__"
209," 52,- "," 26,-__",
210," 38,- "," 32,- "," 5,-__"
211, 36.50 ," 30,- "," 23,-__"
212," 37,- ", 33.90 ," 30,-__"
213, 46.50 , 37.50__,
214," 40,- "," 30,-__",
215," 41,- "," 36,- "," 21,-__"
216," 56,- approx. "," 52,- approx. "," 31,-__"
217," 51,- approx. "," 27,- approx. "," 25,-__"
218," 38,- approx. "," 22,-__",
219," 35,- ", 29.40 , 26.90__
220," 82,- approx. "," 58,- approx. "," 42,-__"
221," 48,- "," 46,- "," 34,-__"
222,,,
223," 35,- approx. "," 24,- approx. "," 12,-__"
224,,,
225,,,
226," 35,- "," 25,- "," 8,-__"
227,,,
228," 45,- "," 39,-__",
229, 39.50 , 30.50 , 20.50__
230," 48,- approx. "," 34,- approx. "," 14,-__"
231," 45,- approx. "," 35,- approx. "," 28,-__"
232," 43,- "," 29,- "," 11,-__"
233," 57,- ", 48.50__,
234, 39.50 , 35.50 , 33.50__
235, 47.50 ," 38,- "," 25,-__"
236, 40.50 , 32.50 , 24.50__
237," 50,- approx. "," 40,-__",
238," 51,- approx. "," 42,- approx. "," 33,-__"
239,,,
240, 38.50 ," 32,-__",
241, 39.30 , 31.40 , 29.50__
242," 65,- approx. "," 58,- approx. "," 42,-__"
243, 35.50 , 33.50 , 28.50__
