,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
113,,,,,,
114,,, mid November,early May__, 09:00,16:00__
115,,,,,,
116,,,,, 09:00,16:00__Limited opening times during the week__
117,,,,,,
118,,,,, 08:30,16:00__
119, 2021-12-10,2022-04-04__, late November,early April__, 09:00,16:00__
120,,,,,,
121,,, early December,mid April__, 09:00,16:00__
122,,,,, 09:00,22:00__
123,,,,, 09:00,20:00__
124,,,,, 09:00,10:00__
125,,,,, 09:00,21:30__
126,,, mid November,early April__, 09:00,16:00__
127,,,,, 08:30,16:00__
128,,, early December,late March__, 09:00,16:00__
129,,,,, 09:00,16:30__
130,,, mid December,early April__, 09:00,16:00__
131,,, mid December,early April__, 08:30,16:00__Limited opening times during the week__
132,,,,, 08:30,22:00__
133,,, mid December,mid April__, 08:00,16:00__
134,,, mid December,mid March__, 09:00,22:00__
135,,,,, 09:00,16:30__
136,,,,, 09:30,16:00__
137,,,,,,
138,,, early December,early April__, 09:00,21:00__
139,,,,,,
140,,,,, 09:00,16:00__
141,,,,, 09:30,16:00__
142,,,,, 09:00,16:00__
143,,, late November,early April__, 09:00,16:00__
144,,,,, 09:00,21:00__
145,,,,, 08:15,16:00__Limited opening times during the week__
146,,, early December,early April__, 09:00,16:00__
147,,,,, 09:30,16:20__
148,,,,, 09:00,22:00__
149,,, late November,late March__, 09:00,21:00__
150,,,,, 09:00,16:00__
151,,,,, 09:30,16:00__
152,,,,, 10:00,16:00__
153,,,,,,
154,,, mid November,late March__, 09:00,21:00__
155,,,,,,
156,,,,, 10:30,16:00__Limited opening times during the week__
157,,,,,,
158,,, early December,early April__, 09:30,18:00__
159,,,,, 09:00,16:00__
160,,,,,,
161,,,,, 09:00,21:00__
162,,,,, 09:30,16:00__
163,,,,, 10:00,16:00__
164,,,,, 08:45,16:15__
165,,,,,,
166,,,,, 09:00,15:00__
167,,,,, 09:00,16:00__
168,,,,, 10:00,21:00__
169,,,,, 10:00,17:00__Limited opening times during the week__
170,,,,, 09:00,16:30__
171,,, early December,late March__, 09:00,16:30__Limited opening times during the week__
172,,,,, 09:00,16:00__
173,,,,,,
174,,, early December,late March__, 10:00,16:00__
175,,,,, 09:30,16:30__
176,,,,, 09:00,16:30__
177,,,,, 09:00,16:00__
178,,,,, 08:30,16:00__Limited opening times during the week__
179,,,,, 09:00,16:00__Limited opening times during the week__
180,,,,, 09:00,16:30__
181,,,,, 09:30,16:00__
182,,,,,,
183,,,,,,
184,,,,, 08:30,22:00__
185,,,,,,
186,,,,, 09:30,17:00__
187,,,,, 09:00,16:00__
188,,,,, 09:30,21:00__
189,,,,, 09:00,21:00__Limited opening times during the week__
190,,,,, 08:30,22:00__Limited opening times during the week__
191,,,,, 09:00,21:00__
192,,, late November,mid April__, 09:30,16:00__
193,,,,, 09:00,15:45__Limited opening times during the week__
194,,,,, 09:00,21:00__
195,,,,, 09:30,21:00__Limited opening times during the week__
196,,,,, 08:30,16:00__
197,,,,,,
198,,,,, 09:00,16:00__
199,,, mid December,early April__, 09:30,17:00__Limited opening times during the week__
200,,,,, 09:00,21:00__
201,,,,, 09:00,21:00__
202,,, early December,early April__, 09:00,16:00__
203,,,,, 09:00,16:00__
204,,,,,,
205,,,,,,
206,,,,,,
