,Lifts
0,29
1,15
2,28
3,17
4,13
5,10
6,7
7,3
8,21
9,12
10,14
11,10
12,6
13,11
14,13
15,8
16,7
17,3
18,13
19,5
20,7
21,4
22,6
23,9
24,8
25,6
26,2
27,5
28,4
29,
30,3
31,
