,Lifts
0,8
1,18
2,43
3,41
4,46
5,79
6,14
7,6
8,13
9,57
10,8
11,20
12,20
13,10
14,10
15,70
16,5
17,31
18,17
19,15
20,7
21,10
22,9
23,10
24,28
25,4
26,4
27,8
28,9
29,21
30,6
31,5
32,5
33,57
34,14
35,4
36,52
37,21
38,6
39,22
40,8
41,3
42,17
43,7
44,3
45,25
46,12
47,6
48,16
49,6
50,90
51,39
52,88
53,
54,46
55,36
56,82
57,136
58,44
59,52
60,34
61,34
62,32
63,28
64,26
65,
66,28
67,23
68,65
69,
70,13
71,71
72,55
73,35
74,21
75,67
76,47
77,18
78,165
79,53
80,14
81,32
82,16
83,36
84,14
85,20
86,15
87,24
88,69
89,31
90,18
91,29
92,62
93,16
94,55
95,47
96,30
97,26
98,17
99,81
100,11
101,81
102,22
103,
104,
105,19
106,8
107,31
108,20
109,20
110,
111,17
112,10
113,23
114,16
115,9
116,15
117,21
118,15
119,15
120,27
121,23
122,7
123,60
124,10
125,
126,34
127,14
128,16
129,26
130,14
131,10
132,11
133,13
134,8
135,12
136,29
137,48
138,11
139,22
140,40
141,28
142,31
143,6
144,14
145,6
146,7
147,7
148,40
149,7
150,12
151,8
152,29
153,24
154,22
155,7
156,7
157,14
158,22
159,10
160,13
161,49
162,21
163,20
164,8
165,4
166,11
167,8
168,8
169,9
170,49
171,11
172,7
173,
174,17
175,12
176,10
177,9
178,5
179,8
180,5
181,7
182,8
183,10
184,5
185,19
186,10
187,7
188,
189,29
190,7
191,12
192,13
193,7
194,15
195,6
196,10
197,5
198,20
199,17
200,20
201,9
202,6
203,23
204,21
205,17
206,9
207,9
208,12
209,6
210,17
211,15
212,28
213,13
214,4
215,15
216,12
217,6
218,27
219,16
220,4
221,14
222,10
223,5
224,
225,
226,19
227,24
228,26
229,4
230,7
231,7
232,14
233,8
234,15
235,18
236,7
237,12
238,5
239,
240,19
241,24
242,25
243,12
244,8
245,10
246,6
247,8
248,8
249,9
250,11
251,9
252,11
253,23
254,7
255,14
256,11
257,11
258,8
259,6
260,4
261,8
262,23
263,10
264,23
265,12
266,11
267,16
268,16
269,5
270,9
271,16
272,5
273,4
274,6
275,13
276,5
277,7
278,12
279,12
280,16
281,7
282,14
283,5
284,3
285,9
286,5
287,19
288,7
289,9
290,8
291,12
292,21
293,4
294,11
295,19
296,4
297,5
298,16
299,8
300,8
301,9
302,6
303,5
304,10
305,21
306,16
307,12
308,9
309,11
310,12
311,17
312,14
313,17
314,13
315,
316,
317,7
318,5
319,5
320,17
321,5
322,11
323,4
324,4
325,23
326,7
327,5
328,4
329,17
330,17
331,12
332,13
333,5
334,2
335,20
336,2
337,6
338,5
339,15
340,8
341,22
342,23
343,8
344,9
345,11
346,3
347,12
348,7
349,13
350,10
351,7
352,4
353,3
354,5
355,15
356,21
357,5
358,13
359,7
360,10
361,14
362,7
363,15
364,5
365,9
366,9
367,5
368,3
369,7
370,12
371,9
372,7
373,9
374,10
375,8
376,19
377,10
378,11
379,
380,15
381,
382,14
383,15
384,23
385,12
386,9
387,1
388,9
389,11
390,15
391,5
392,5
393,5
394,10
395,14
396,13
397,11
398,2
399,15
400,13
401,4
402,6
403,10
404,7
405,5
406,10
407,6
408,
409,13
410,6
411,7
412,5
413,6
414,18
415,6
416,9
417,12
418,12
419,10
420,3
421,5
422,5
423,8
424,2
425,19
426,8
427,8
428,
429,19
430,12
431,4
432,10
433,10
434,12
435,6
436,
437,10
438,7
439,4
440,7
441,4
442,8
443,8
444,3
445,13
446,6
447,3
448,
449,19
450,9
451,7
452,5
453,6
454,15
455,12
456,11
457,16
458,5
459,5
460,6
461,2
462,19
463,16
464,3
465,5
466,8
467,9
468,6
469,12
470,6
471,
472,6
473,4
474,13
475,21
476,5
477,10
478,2
479,6
480,3
481,6
482,8
483,5
484,12
485,5
486,11
487,6
488,3
489,16
490,9
491,6
492,7
493,4
494,5
495,8
496,21
497,7
498,6
499,21
500,
501,8
502,12
503,7
504,15
505,5
506,9
507,9
508,3
509,4
510,10
511,5
512,5
513,3
514,8
515,4
516,4
517,7
518,9
519,5
520,5
521,5
522,14
523,4
524,3
525,4
526,4
527,6
528,3
529,9
530,6
531,8
532,8
533,5
534,2
535,5
536,7
537,
538,5
539,13
540,7
541,5
542,6
543,13
544,4
545,5
546,12
547,4
548,10
549,3
550,7
551,8
552,4
553,28
554,6
555,9
556,8
557,3
558,6
559,3
560,11
561,6
562,10
563,2
564,16
565,17
566,5
567,3
568,10
569,5
570,2
571,7
572,2
573,11
574,3
575,3
576,3
577,4
578,5
579,
580,8
581,14
582,10
583,4
584,10
585,4
586,5
587,9
588,3
589,4
590,3
591,2
592,7
593,5
594,6
595,2
596,5
597,4
598,9
599,4
600,6
601,8
602,12
603,4
604,13
605,4
606,13
607,2
608,8
609,5
610,5
611,
612,9
613,9
614,3
615,8
616,6
617,7
618,6
619,7
620,12
621,10
622,
623,6
624,4
625,4
626,6
627,4
628,5
629,
630,4
631,6
632,5
633,8
634,8
635,9
636,10
637,7
638,7
639,5
640,7
641,8
642,4
643,7
644,5
645,6
646,4
647,2
648,4
649,3
650,
651,5
652,3
653,9
654,6
655,3
656,4
657,13
658,
659,8
660,5
661,9
662,4
663,6
664,14
665,10
666,5
667,4
668,1
669,4
670,4
671,4
672,
673,4
674,2
675,7
676,3
677,6
678,5
679,9
680,4
681,3
682,5
683,9
684,8
685,8
686,7
687,12
688,11
689,3
690,10
691,2
692,1
693,7
694,7
695,3
696,
697,7
698,4
699,2
700,3
701,5
702,5
703,9
704,
705,
706,
707,2
708,5
709,7
710,7
711,3
712,6
713,8
714,17
715,10
716,5
717,3
718,8
719,8
720,2
721,7
722,2
723,2
724,4
725,4
726,6
727,8
728,2
729,9
730,5
731,4
732,3
733,6
734,2
735,7
736,5
737,
738,
739,8
740,7
741,9
742,6
743,8
744,5
745,5
746,5
747,13
748,8
749,3
750,4
751,2
752,4
753,7
754,6
755,4
756,4
757,4
758,2
759,
760,6
761,3
762,7
763,4
764,2
765,5
766,6
767,4
768,8
769,8
770,3
771,2
772,5
773,
774,5
775,7
776,3
777,3
778,3
779,7
780,2
781,5
782,13
783,2
784,1
785,2
786,2
787,7
788,2
789,1
790,0
791,8
792,3
793,11
794,5
795,6
796,4
797,6
798,5
799,
800,6
801,2
802,4
803,3
804,8
805,3
806,5
807,14
808,5
809,6
810,2
811,4
812,4
813,3
814,4
815,7
816,5
817,6
818,2
819,3
820,13
821,6
822,5
823,6
824,4
825,5
826,5
827,4
828,4
829,4
830,
831,
832,
833,4
834,3
835,8
836,4
837,5
838,6
839,2
840,7
841,7
842,7
843,5
844,9
845,4
846,
847,4
848,4
849,5
850,9
851,2
852,6
853,5
854,7
855,5
856,11
857,4
858,5
859,5
860,5
861,5
862,3
863,
864,
865,5
866,8
867,5
868,8
869,2
870,5
871,9
872,
873,5
874,2
875,1
876,1
877,3
878,3
879,6
880,6
881,4
882,11
883,6
884,6
885,4
886,5
887,3
888,9
889,4
890,3
891,
892,1
893,
894,
895,
896,6
897,3
898,2
899,3
900,4
901,3
902,8
903,2
904,6
905,11
906,3
907,3
908,6
909,5
910,5
911,4
912,5
913,5
914,4
915,4
916,9
917,3
918,7
919,7
920,4
921,4
922,
923,4
924,5
925,3
926,4
927,5
928,3
929,7
930,3
931,3
932,2
933,8
934,
935,
936,4
