,Pistas_Totales,Easy,Intermediate,Difficult,Aditional_Routes
226,105,42.7,51,11.6,
227,90.5,37,32.6,20.9,
228,100,60,30,10,
229,15,5,10,0,
230,30,12,12,6,
231,23,11,9,3,
232,30,11,14,5,
233,29,6,9,14,
234,30,13,14,3,
235,40,12,18,10,3
236,22,6,15,1,2
237,34,22,8,4,2
238,36,9,21,6,3
239,18.2,3.5,13.2,1.5,7.7
240,80,40,25,15,
241,86,49,29,8,
242,84,43,38,3,
243,75,28,34,13,
244,70,40,20,10,
245,14.7,2.2,8.2,4.3,
246,19,4,10,5,
247,11.8,5.4,5.2,1.2,0.4
248,23,6,15,2,2
249,29,13,15,1,
250,50,14,34,2,
251,58,35.2,17.4,5.4,
252,60,20,20,20,9
253,85,28,50,7,
254,51.5,15.6,23.1,12.8,6
255,33.7,19.5,11.9,2.3,4.6
256,65,35,22,8,
257,44,9,33,2,
258,30.4,22.4,6,2,
259,21,10,10,1,
260,16,7,8,1,
261,22.5,10.5,10,2,
262,90,45,35,10,
263,58,12,37,9,6
264,55,30,19,6,
265,65,17,43,5,
266,50,28.3,14,7.7,
267,68,29,28,11,
268,60,30,26,4,
269,20,10,9,1,
270,9.6,5,2.6,2,
271,11,5,5.9,0.1,
272,24,11.1,5.8,7.1,0.8
273,16,5,9,2,
274,11.9,2.8,5.1,4,
275,34,15.2,13.8,5,2.2
276,12.8,2.8,5,5,
277,55,30,22,3,
278,50.3,8.3,35.5,6.5,
279,50,15,20,15,
280,60,30,15,15,
281,60,25,30,5,
282,52,7,28,17,
283,27,8,15,4,11
284,0.4,0.3,0.1,0,
285,25,5,15,5,
286,15,6,7,2,
287,18.3,14.4,3.9,0,
288,19,13,5,1,
289,25,14,10,1,
290,12.2,2.9,9,0.3,13
291,47,20,15,12,
292,58,30,19,9,
293,43,10,27,6,
294,36,20,6,10,
295,50,15,25,10,
296,6,4,2,0,
297,13.4,7.2,6.2,0,
298,31.5,17.3,10.5,3.7,
299,8,6,2,0,0.7
300,10.6,6.5,3.1,1,6
301,21.2,8,10.2,3,2.5
302,5,2.5,1.9,0.6,
303,25,8,8.5,8.5,
304,42,21.7,19.4,0.9,
305,65,35,20,10,
306,60,26,25,9,
307,60,20,30,10,
308,35,18,13,4,
309,45,25,8,12,3
310,50,8,40,2,2
311,55,22,23,10,
312,50,25,20,5,
313,41.5,16,21.5,4,
